Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2301628,13/05/2022,Florida,West Palm Beach,501 S Sapodilla Ave,Alexander W. Dreyfoos School of the Arts,0,0,1,0,0
2301674,13/05/2022,Florida,Gainesville,9301 NW 23rd Ave,Fort Clarke Middle School,0,0,0,0,1
2304209,15/05/2022,Illinois,Plainfield,2501 Mirage Ave,Meadow View Elementary School,0,1,0,0,1
2303783,16/05/2022,Texas,Mexia,1120 N Ross Ave,Mexia High School,0,0,0,0,1
2303878,16/05/2022,South Carolina,Goose Creek,131 Charles B Gibson Ave,Sedgefield Middle School,0,0,0,0,4
2305366,16/05/2022,Pennsylvania,Milton,700 Mahoning St,Milton Area High/Middle Schoo,0,0,0,0,0
2304386,16/05/2022,New Jersey,Newark,571 18th Ave,North Star Academy,0,0,0,0,0
2305041,17/05/2022,Virginia,Roanoke,1441 Westside Blvd NW,Westside Elementary School,0,0,0,0,0
2304941,17/05/2022,North Carolina,High Point,801 Ferndale Blvd,High Point Central High School,0,0,0,0,1
2304921,17/05/2022,North Carolina,Charlotte,3241 New Renaissance Way,Renaissance West STEAM Academy,0,0,0,0,0
2304854,17/05/2022,Illinois,Chicago,4140 N Marine Dr,Disney Magnet School,0,1,0,0,0
2304548,17/05/2022,Florida,Leesburg,1401 Yellow Jacket Way,Leesburg High School,0,0,0,0,1
2305803,18/05/2022,New York,Corona (Queens),108-35 167th St,York Early College Academy,0,0,0,0,1
2306384,18/05/2022,Florida,Palmetto,1200 17th St W,Palmetto High School,0,0,0,0,1
2307652,19/05/2022,Virginia,Dumfries,3401 Panther Pride Dr,Potomac High School,0,0,0,0,1
2307060,19/05/2022,Michigan,Grand Rapids (Kentwood),6230 Kalamazoo Ave SE,East Kentwood High School,0,2,0,0,6
2306606,19/05/2022,Georgia,Hoschton,4400 Braselton Hwy,Mill Creek High School,0,0,0,0,1
2307427,19/05/2022,Oklahoma,Tulsa,N/A,N/A,0,0,0,0,1
2307082,19/05/2022,North Carolina,Charlotte,5850 Statesville Rd,Ranson Middle School,0,0,0,0,0
2306311,19/05/2022,Massachusetts,Boston,40 Medford St,Charlestown High School,0,0,0,0,2
2324447,19/05/2022,Arizona,Phoenix,4703 E Indian School Rd,Arcadia High School,0,0,0,0,1
2306837,19/05/2022,Louisiana,Hammond,800 W University Ave,Southeastern Louisiana University University Center,0,3,0,0,1
2307070,19/05/2022,Virginia,Richmond,4314 Crutchfield St,George Wythe High School,0,0,0,0,0
2306647,19/05/2022,Virginia,Fredericksburg,1 Learning Ln,Walker-Grant Middle School,0,0,0,0,1
2309950,20/05/2022,Kentucky,Louisville,4615 Taylor Blvd,Iroquois High School,0,0,0,0,0
2325395,20/05/2022,Georgia,Decatur,310 N McDonough St,Decatur High School,0,0,0,0,0
2309266,20/05/2022,Florida,Mount Dora,1405 Lincoln Ave,Mount Dora Middle School,0,0,0,0,1
2307741,20/05/2022,Tennessee,Nashville,67 Fairfield Ave,Napier Elementary School,0,0,0,0,0
2309719,23/05/2022,South Carolina,Hopkins,2615 Lower Richland Blvd,Lower Richland High School,0,0,0,0,1
2326473,23/05/2022,Alabama,Mobile,3725 Airport Blvd,ACCEL Academy,0,0,0,0,1
2309320,23/05/2022,Minnesota,Minneapolis,4320 N Newton Ave,Patrick Henry High School,0,0,0,0,0
2326439,23/05/2022,Washington,Airway Heights,12824 W 12th Ave,Sunset Elementary School,0,0,0,0,0
2326426,23/05/2022,Wisconsin,Madison,702 Pflaum Rd,La Follette High School,0,0,0,0,1
2311240,24/05/2022,New York,Syracuse,1106 Lancaster Ave,Ed Smith K-8 School,0,0,0,0,1
